Year,State,Metric Name,Metric Value,Unit,Rank
2024,Oklahoma,NG - Consumption per Customer - Commercial Sector,197.01478314889494,Mcf per customer,1.0
2024,Oregon,NG - Consumption per Customer - Commercial Sector,343.4924601159619,Mcf per customer,19.0
2024,Pennsylvania,NG - Consumption per Customer - Commercial Sector,308.24964677752416,Mcf per customer,10.0
2024,Rhode Island,NG - Consumption per Customer - Commercial Sector,272.1615109379954,Mcf per customer,3.0
2024,South Carolina,NG - Consumption per Customer - Commercial Sector,369.28126931794765,Mcf per customer,30.0
2024,South Dakota,NG - Consumption per Customer - Commercial Sector,328.1622679814385,Mcf per customer,18.0
2024,Tennessee,NG - Consumption per Customer - Commercial Sector,354.56731239847636,Mcf per customer,25.0
2024,Texas,NG - Consumption per Customer - Commercial Sector,400.7978915511315,Mcf per customer,36.0
2024,Utah,NG - Consumption per Customer - Commercial Sector,400.9972101133391,Mcf per customer,37.0
2024,Vermont,NG - Consumption per Customer - Commercial Sector,1089.7934713375796,Mcf per customer,50.0
2024,Virginia,NG - Consumption per Customer - Commercial Sector,385.55290138463164,Mcf per customer,34.0
2024,Washington,NG - Consumption per Customer - Commercial Sector,474.15799420204763,Mcf per customer,41.0
2024,West Virginia,NG - Consumption per Customer - Commercial Sector,323.173587944323,Mcf per customer,16.0
2024,Wisconsin,NG - Consumption per Customer - Commercial Sector,358.7450950664286,Mcf per customer,26.0
2024,Wyoming,NG - Consumption per Customer - Commercial Sector,499.76999929641875,Mcf per customer,44.0
2024,Alabama,NG - Consumption per Customer - Industrial Sector,18150.697500718183,Mcf per customer,34.0
2024,Alaska,NG - Consumption per Customer - Industrial Sector,8129484.142857143,Mcf per customer,50.0
2024,Arizona,NG - Consumption per Customer - Industrial Sector,22921.489270386268,Mcf per customer,40.0
2024,Arkansas,NG - Consumption per Customer - Industrial Sector,4037.5725190839694,Mcf per customer,17.0
2024,California,NG - Consumption per Customer - Industrial Sector,957.7286496720535,Mcf per customer,5.0
2024,Colorado,NG - Consumption per Customer - Industrial Sector,6758.018555334659,Mcf per customer,24.0
2024,Connecticut,NG - Consumption per Customer - Industrial Sector,5182.605010438413,Mcf per customer,19.0
2024,Delaware,NG - Consumption per Customer - Industrial Sector,1091.516129032258,Mcf per customer,6.0
2024,District of Columbia,NG - Consumption per Customer - Industrial Sector,,Mcf per customer,
2024,Florida,NG - Consumption per Customer - Industrial Sector,34476.596153846156,Mcf per customer,42.0
2024,Georgia,NG - Consumption per Customer - Industrial Sector,37033.4885583524,Mcf per customer,44.0
2024,Hawaii,NG - Consumption per Customer - Industrial Sector,15893.2,Mcf per customer,33.0
2024,Idaho,NG - Consumption per Customer - Industrial Sector,5772.128113879004,Mcf per customer,22.0
2024,Illinois,NG - Consumption per Customer - Industrial Sector,880.4821177886222,Mcf per customer,2.0
2024,Indiana,NG - Consumption per Customer - Industrial Sector,3230.364900086881,Mcf per customer,15.0
2024,Iowa,NG - Consumption per Customer - Industrial Sector,5532.860528714677,Mcf per customer,21.0
2024,Kansas,NG - Consumption per Customer - Industrial Sector,2625.3596017069704,Mcf per customer,13.0
2024,Kentucky,NG - Consumption per Customer - Industrial Sector,15082.695084485407,Mcf per customer,32.0
2024,Louisiana,NG - Consumption per Customer - Industrial Sector,38690.56476683938,Mcf per customer,45.0
2024,Maine,NG - Consumption per Customer - Industrial Sector,35556.52307692308,Mcf per customer,43.0
2024,Maryland,NG - Consumption per Customer - Industrial Sector,896.7128427128428,Mcf per customer,3.0
2024,Massachusetts,NG - Consumption per Customer - Industrial Sector,1678.4786931818182,Mcf per customer,10.0
2024,Michigan,NG - Consumption per Customer - Industrial Sector,2051.2689639740433,Mcf per customer,11.0
2024,Minnesota,NG - Consumption per Customer - Industrial Sector,13264.314457831326,Mcf per customer,30.0
2024,Mississippi,NG - Consumption per Customer - Industrial Sector,19241.438697318008,Mcf per customer,36.0
2024,Missouri,NG - Consumption per Customer - Industrial Sector,3045.712359550562,Mcf per customer,14.0
2024,Montana,NG - Consumption per Customer - Industrial Sector,1435.8068181818182,Mcf per customer,8.0
2024,Nebraska,NG - Consumption per Customer - Industrial Sector,11246.926121372031,Mcf per customer,27.0
2024,Nevada,NG - Consumption per Customer - Industrial Sector,18210.056872037916,Mcf per customer,35.0
2024,New Hampshire,NG - Consumption per Customer - Industrial Sector,11860.180327868853,Mcf per customer,29.0
2024,New Jersey,NG - Consumption per Customer - Industrial Sector,697.7334681496461,Mcf per customer,1.0
2024,New Mexico,NG - Consumption per Customer - Industrial Sector,5530.38524590164,Mcf per customer,20.0
2024,New York,NG - Consumption per Customer - Industrial Sector,927.1333968556455,Mcf per customer,4.0
2024,North Carolina,NG - Consumption per Customer - Industrial Sector,10522.97643277986,Mcf per customer,26.0
2024,North Dakota,NG - Consumption per Customer - Industrial Sector,91676.92613636363,Mcf per customer,47.0
2024,Ohio,NG - Consumption per Customer - Industrial Sector,2287.393816110659,Mcf per customer,12.0
2024,Oklahoma,NG - Consumption per Customer - Industrial Sector,9301.752751283933,Mcf per customer,25.0
2024,Oregon,NG - Consumption per Customer - Industrial Sector,11349.324205914567,Mcf per customer,28.0
2024,Pennsylvania,NG - Consumption per Customer - Industrial Sector,1354.1956224350206,Mcf per customer,7.0
2024,Rhode Island,NG - Consumption per Customer - Industrial Sector,6310.390625,Mcf per customer,23.0
2024,South Carolina,NG - Consumption per Customer - Industrial Sector,24853.88249027237,Mcf per customer,41.0
2024,South Dakota,NG - Consumption per Customer - Industrial Sector,4328.592233009709,Mcf per customer,18.0
2024,Tennessee,NG - Consumption per Customer - Industrial Sector,19382.9140625,Mcf per customer,38.0
2024,Texas,NG - Consumption per Customer - Industrial Sector,124125.72682425489,Mcf per customer,48.0
2024,Utah,NG - Consumption per Customer - Industrial Sector,15004.292307692307,Mcf per customer,31.0
2024,Vermont,NG - Consumption per Customer - Industrial Sector,147222.7857142857,Mcf per customer,49.0
